"id","departamento","grupo","descricao","precounitario","code"
2,"hortifruti","frutas","abacate 500g","4.49","hf009"
3,"mercearia","alimentos especiais","abacaxi e coco zero 25g - phinus","3.49","mae038"
4,"mercearia","doces e sobremesas","abacaxi em rodelas oderich 400g","16.95","mds001"
5,"hortifruti","frutas","abacaxi espinho unidade","8.99","hf020"
6,"hortifruti","legumes","abobrinha Itália 200g","1.44","hl014"
7,"hortifruti","legumes","abobrinha Itália dico 600g","4.69","hl031"
8,"higiene e beleza","mulher","absorvente 2 em 1 com abas cobertura suave intimus 8 unidades","14.29","hbm019"
9,"higiene e beleza","mulher","absorvente always noites secas com abas leve 8 e pague 7","12.50","hbm022"
10,"higiene e beleza","mulher","absorvente always proteção suave sem abas leve 8 pague 7","14.50","hbm020"
11,"higiene e beleza","mulher","absorvente always super proteção cobertura seca com abas 16 unidades","12.00","hbm035"
12,"higiene e beleza","mulher","absorvente dia & noite intimus com abas cobertura extra suave 14 unidades","22.95","hbm010"
13,"higiene e beleza","mulher","absorvente interno intimus médio com 8 unidades","15.50","hbm033"
14,"higiene e beleza","mulher","absorvente interno intimus mini com 8 unidades","15.50","hbm004"
15,"higiene e beleza","mulher","absorvente interno intimus super com 8 unidades","14.95","hbm037"
16,"higiene e beleza","mulher","absorvente intimus gel norm seca sem abas 8 unidades","8.50","hbm017"
17,"higiene e beleza","mulher","absorvente intimus gel tripla proteção suave sem abas 8 unidades","8.50","hbm014"
18,"higiene e beleza","mulher","absorvente intimus tecnologia antibacteriana com abas 14 unidades","15.50","hbm031"
19,"higiene e beleza","mulher","absorvente noturno intimus com abas cobertura seca 8 unidades","9.99","hbm015"
20,"higiene e beleza","mulher","absorvente noturno intimus com abas cobertura suave 16 unidades","24.99","hbm007"
21,"higiene e beleza","mulher","absorvente noturno intimus com abas cobertura suave 8 unidades","9.99","hbm039"
22,"higiene e beleza","mulher","absorvente sempre livre adapt plus cobertura suave com abas 8 unidades","14.65","hbm003"
23,"higiene e beleza","mulher","absorvente sempre livre adapt plus cobertura suave com abas 8 unidades","9.20","hbm018"
24,"higiene e beleza","mulher","absorvente tripa proteção intimus sem abas cobertura extra suave 8 unidades","5.99","hbm030"
25,"higiene e beleza","mulher","absorvente tripla proteção intimus com abas cobertura seca 16 unidades","13.90","hbm036"
26,"higiene e beleza","mulher","absorvente tripla proteção intimus sem abas cobertura seca 8 unidades","8.50","hbm023"
27,"carnes","peixes e crustáceos","açafrão em estigma 0,4g la pastina","26.99","cpc003"
28,"mercearia","temperos e condimentos","açafrão em estigma 0,4g la pastina","26.99","mtc037"
29,"congelados","sucos e sobremesas","açaí com guaraná premium mãe terra 1,5 litro","46.95","css075"
30,"congelados","sucos e sobremesas","açaí com guaraná premium mãe terra 700ml","31.95","css034"
31,"congelados","sucos e sobremesas","açaí com guaraná trivialy 1 litro","27.90","css072"
32,"congelados","sucos e sobremesas","açaí frooty original 2 litros","57.49","css025"
33,"congelados","sucos e sobremesas","açaí frooty zero açúcar 200ml","15.90","css028"
34,"congelados","sucos e sobremesas","açaí sport com guaraná e morango de marchi 500g","20.90","css065"
35,"congelados","sucos e sobremesas","açaí sport tradicional 500g","20.90","css053"
36,"mercearia","alimentos especiais","açaí sport zero açúcar 500ml","27.90","mae065"
37,"higiene e beleza","mãos e pés","acetona farmax 100ml","6.50","hbmp008"
38,"higiene e beleza","mãos e pés","acetona removedor de esmalte softus 100ml","5.50","hbmp006"
39,"higiene e beleza","mãos e pés","acetona zulu 90ml","6.95","hbmp005"
40,"frios e laticínios","leite","achocolatado nescau zero lactose 200ml","3.70","fll030"
